term,category,alternatives,note,condition,source_url
homosexual,outdated,gay|gay man|lesbian|gay person|gay people,Clinical history used to suggest people attracted to the same sex are diseased or disordered.,as a noun or adjective for a person,https://www.glaad.org/reference/terms
homosexual relationship,outdated,relationship|couple,Frequently used to denigrate LGBTQ relationships.,,https://www.glaad.org/reference/terms
homosexual couple,outdated,couple|gay couple|same-sex couple,Frequently used to denigrate LGBTQ relationships.,,https://www.glaad.org/reference/terms
homosexual sex,outdated,sex,Frequently used to denigrate LGBTQ relationships.,,https://www.glaad.org/reference/terms
sexual preference,outdated,sexual orientation|orientation,Inaccurately suggests orientation is a choice that can be changed.,,https://www.glaad.org/reference/terms
gay lifestyle,biased,LGBTQ people and their lives,Inaccurately implies being LGBTQ is a voluntary choice.,,https://www.glaad.org/reference/terms
lgbtq lifestyle,biased,LGBTQ people and their lives,Inaccurately implies being LGBTQ is a voluntary choice.,,https://www.glaad.org/reference/terms
homosexual lifestyle,biased,LGBTQ people and their lives,Inaccurately implies being LGBTQ is a voluntary choice.,,https://www.glaad.org/reference/terms
transgender lifestyle,biased,transgender people and their lives,Inaccurately implies being transgender is a voluntary choice.,,https://www.glaad.org/reference/terms
gay rights,biased,equality for LGBTQ people,Implies LGBTQ people are seeking rights different from those everyone already has.,,https://www.glaad.org/reference/terms
special rights,biased,equal rights|equality under the law,Implies LGBTQ people are seeking rights different from those everyone already has.,,https://www.glaad.org/reference/terms
faggot,potentially-offensive,,Derogatory epithet.,"except in a direct quote revealing bias, or reclaimed self-description",https://www.glaad.org/reference/terms
fag,potentially-offensive,,Derogatory epithet.,"except in a direct quote revealing bias, or reclaimed self-description",https://www.glaad.org/reference/terms
dyke,potentially-offensive,,Derogatory epithet (though reclaimed by some).,"except in a direct quote revealing bias, or reclaimed self-description",https://www.glaad.org/reference/terms
sodomite,potentially-offensive,,Derogatory epithet.,except in a direct quote revealing bias,https://www.glaad.org/reference/terms
transgenders,outdated,transgender people|a transgender person,"“Transgender” should be used as an adjective, never as a noun.",,https://www.glaad.org/reference/trans-terms
transgendered,outdated,transgender,The adjective “transgender” should never take an extraneous “-ed.”,,https://www.glaad.org/reference/trans-terms
transgender individuals,potentially-offensive,transgender people|transgender person,Referring to trans people as “individuals” contributes to dehumanizing them.,,https://www.glaad.org/reference/trans-terms
transgenderism,biased,being transgender|the transgender community,Used by anti-transgender activists to dehumanize trans people as “a condition” or “ideology.”,,https://www.glaad.org/reference/trans-terms
gender ideology,biased,being transgender|the transgender community,Used by anti-transgender activists to dehumanize trans people as “a condition” or “ideology.”,,https://www.glaad.org/reference/trans-terms
female-to-male,outdated,transgender man|trans man,Implies a change from one binary gender to the other rather than an innate identity.,,https://www.glaad.org/reference/trans-terms
male-to-female,outdated,transgender woman|trans woman,Implies a change from one binary gender to the other rather than an innate identity.,,https://www.glaad.org/reference/trans-terms
sex change,outdated,transition|gender confirmation surgery,Overemphasizes surgery when discussing transition.,,https://www.glaad.org/reference/trans-terms
sex reassignment surgery,outdated,gender confirmation surgery|gender-affirming surgery,Outdated and offensive phrase for this medical procedure.,,https://www.glaad.org/reference/trans-terms
preferred pronouns,outdated,pronouns,Implies pronoun use is a preference rather than a fact.,,https://www.glaad.org/reference/trans-terms
transgender rights,biased,equality for transgender people,Weaponized by anti-trans activists to imply demanding rights different from those everyone has.,,https://www.glaad.org/reference/trans-terms
passing,potentially-offensive,perceived as transgender|perceived as cisgender,Implies “passing as something you are not” rather than living as one's authentic self.,,https://www.glaad.org/reference/trans-terms
stealth,potentially-offensive,not perceived as transgender,Connotes deceit.,,https://www.glaad.org/reference/trans-terms
tranny,potentially-offensive,,Dehumanizing slur.,except self-description or a direct quote revealing bias,https://www.glaad.org/reference/trans-terms
she-male,potentially-offensive,,Dehumanizing slur.,except a direct quote revealing bias,https://www.glaad.org/reference/trans-terms
born a man,outdated,transgender woman|trans woman,Oversimplifies a complex subject; used by anti-transgender activists to discredit trans identity.,,https://www.glaad.org/reference/trans-terms
born a woman,outdated,transgender man|trans man,Oversimplifies a complex subject; used by anti-transgender activists to discredit trans identity.,,https://www.glaad.org/reference/trans-terms
biologically male,outdated,assigned male at birth,Oversimplifies a complex subject; used to discredit trans identity.,,https://www.glaad.org/reference/trans-terms
biologically female,outdated,assigned female at birth,Oversimplifies a complex subject; used to discredit trans identity.,,https://www.glaad.org/reference/trans-terms
transsexual,outdated,transgender,Older clinical term; the trans community broadly replaced it with “transgender.”,unless the person specifically identifies with the term,https://www.glaad.org/reference/trans-terms
