term,category,alternatives,note,condition,source_url
able-bodied,ableist,non-disabled|does not have a disability,Implies people with disabilities lack “able” bodies.,when describing a person,https://ncdj.org/style-guide/
abnormal,ableist,atypical|typical,Widely viewed as derogatory when used to describe a person; a scientific-phenomenon use is fine.,"when describing a person, not a scientific phenomenon",https://ncdj.org/style-guide/
addict,ableist,person with a drug addiction|person who misuses drugs,Identifies someone solely by their disease rather than the person.,,https://ncdj.org/style-guide/
afflicted with,ableist,has [condition]|lives with [condition],Carries the assumption that a person with a disability is suffering.,,https://ncdj.org/style-guide/
suffers from,ableist,has [condition],Carries the assumption that a person with a disability is suffering.,,https://ncdj.org/style-guide/
stricken with,ableist,has [condition],Carries the assumption that a person with a disability is suffering.,,https://ncdj.org/style-guide/
victim of,ableist,has [condition]|person with [condition],Carries the assumption that a person with a disability is suffering.,,https://ncdj.org/style-guide/
albino,ableist,person with albinism,Has been used in a hateful way historically.,,https://ncdj.org/style-guide/
alcoholic,ableist,person with alcoholism|person with an alcohol addiction,Identifies someone solely by their disease.,,https://ncdj.org/style-guide/
harelip,ableist,cleft lip|cleft palate,Anatomically incorrect and stigmatizing.,,https://ncdj.org/style-guide/
brain damaged,ableist,person with a brain injury|person with a traumatic brain injury,Considered derogatory.,,https://ncdj.org/style-guide/
caretaker,ableist,caregiver,“You take care of property… to people you give care.”,when referring to a person providing care,https://ncdj.org/style-guide/
catatonic,ableist,,Offensive and inaccurate when used casually to describe someone in a stupor-like state.,outside of an actual medical diagnosis,https://ncdj.org/style-guide/
cretin,ableist,hypothyroidism,Considered a slur for a person with intellectual disabilities; use the medical term for the condition instead.,,https://ncdj.org/style-guide/
cripple,ableist,,Offensive when used as a noun or verb to describe a person who is lame or disabled.,unless describing the “crip” movement or in a direct quote,https://ncdj.org/style-guide/
deaf-mute,ableist,deaf|hard of hearing,Implies communication is not possible; often used inaccurately.,,https://ncdj.org/style-guide/
deaf and dumb,ableist,deaf|hard of hearing,Implies communication is not possible; often used inaccurately.,,https://ncdj.org/style-guide/
birth defect,ableist,congenital disability|birth impairment,Implies the person is deficient or inferior to others.,,https://ncdj.org/style-guide/
freak,ableist,,Derogatory when used to describe a person with a disability.,,https://ncdj.org/style-guide/
handicapped,ableist,person with a disability,Term has fallen out of favor in the disability community.,when describing a person (still widely used for e.g. “handicapped parking”),https://ncdj.org/style-guide/
handicapable,ableist,person with a disability,"Rare coinage, not generally accepted.",,https://ncdj.org/style-guide/
hearing impaired,ableist,deaf|hard of hearing,The World Federation of the Deaf considers this no longer acceptable.,,https://ncdj.org/style-guide/
high functioning,ableist,,Dismissive/reductive of a person's abilities; describe specific abilities and challenges instead.,,https://ncdj.org/style-guide/
low functioning,ableist,,Dismissive/reductive of a person's abilities; describe specific abilities and challenges instead.,,https://ncdj.org/style-guide/
homebound,ableist,,Often applied incorrectly to people with disabilities who require some assistance but are relatively independent.,unless in a direct quote,https://ncdj.org/style-guide/
housebound,ableist,,Often applied incorrectly to people with disabilities who require some assistance but are relatively independent.,unless in a direct quote,https://ncdj.org/style-guide/
insane,ableist,person with a mental illness,Commonly used informally but can be considered offensive.,,https://ncdj.org/style-guide/
mentally deranged,ableist,person with a mental illness,Commonly used informally but can be considered offensive.,,https://ncdj.org/style-guide/
insane asylum,ableist,psychiatric hospital|behavioral health hospital,Now considered objectionable and inaccurate.,,https://ncdj.org/style-guide/
invalid,ableist,person with a disability,Implies a person lacks abilities.,when describing a person,https://ncdj.org/style-guide/
mentally retarded,ableist,person with an intellectual disability|intellectually disabled,Outdated and offensive; replaced in U.S. federal law by Rosa's Law (2010).,,https://ncdj.org/style-guide/
retarded,ableist,intellectually disabled|person with an intellectual disability,Outdated and offensive; particularly charged term.,,https://ncdj.org/style-guide/
mongoloid,ableist,person with Down syndrome,Highly derogatory historical term for people with Down syndrome.,,https://ncdj.org/style-guide/
midget,ableist,little person|person with dwarfism,Widely considered a derogatory slur.,,https://ncdj.org/style-guide/
vertically challenged,ableist,little person|person with dwarfism,Considered an offensive euphemism by Little People of America.,,https://ncdj.org/style-guide/
lame,ableist,,Colloquial use as a synonym for “weak” or “bad” is offensive.,when used as a metaphor rather than literally describing a leg injury,https://ncdj.org/style-guide/
shrink,ableist,mental health professional|psychiatrist|therapist,Avoid in reference to a mental health professional except in a quote.,,https://ncdj.org/style-guide/
schizophrenic,ableist,person with schizophrenia,Implies the condition defines the person; never use colloquially for something inconsistent.,,https://ncdj.org/style-guide/
paraplegic,ableist,person with paraplegia,Implies the condition defines the person.,,https://ncdj.org/style-guide/
quadriplegic,ableist,person with quadriplegia,Implies the condition defines the person.,,https://ncdj.org/style-guide/
special needs,ableist,functional needs,Euphemistically stigmatizes what is different; cite the specific disability where possible.,,https://ncdj.org/style-guide/
speech impediment,ableist,speech disability,Describes the condition in terms of a deficiency.,,https://ncdj.org/style-guide/
psychotic,ableist,person with a psychotic condition|experiencing psychosis,Offensive and inaccurate when used colloquially as a synonym for “crazy.”,"as an adjective describing a person, outside a medical context",https://ncdj.org/style-guide/
